date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:55:59	2624/2624	---M--	200	added ('OK')	application/json	date:Tue,%2007%20Jan%202020%2004:55:57%20GMT	http://www.xaviercochet.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.xaviercochet.fr%2Fsam-2eme-episode-ou-sam-retourne-a-lecole%2F	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-json/oembed/1.0/embedcb48.json	(from http://www.xaviercochet.fr/sam-2eme-episode-ou-sam-retourne-a-lecole/)
05:55:59	49804/49804	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:55:57%20GMT	http://www.xaviercochet.fr/sam-3eme-episode-ou-sam-sinquiete-pour-ses-enfants/?shared=email%26msg=fail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/sam-3eme-episode-ou-sam-sinquiete-pour-ses-enfants/index62e6.html	(from http://www.xaviercochet.fr/sam-3eme-episode-ou-sam-sinquiete-pour-ses-enfants/?share=email)
05:56:00	887/887	---M--	200	added ('OK')	application/rss+xml	etag:%22f73c473dd47b30e3d7a5a50f4e578c2a%22	http://www.xaviercochet.fr/sam-2eme-episode-ou-sam-retourne-a-lecole/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/sam-2eme-episode-ou-sam-retourne-a-lecole/feed/index.html	(from http://www.xaviercochet.fr/sam-2eme-episode-ou-sam-retourne-a-lecole/)
05:56:01	2715/2715	---M--	200	added ('OK')	text/xml	date:Tue,%2007%20Jan%202020%2004:56:00%20GMT	http://www.xaviercochet.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.xaviercochet.fr%2Fsam-2eme-episode-ou-sam-retourne-a-lecole%2F&format=xml	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-json/oembed/1.0/embedff4b	(from http://www.xaviercochet.fr/sam-2eme-episode-ou-sam-retourne-a-lecole/)
05:56:03	2512/2512	---M--	200	added ('OK')	application/json	date:Tue,%2007%20Jan%202020%2004:56:01%20GMT	http://www.xaviercochet.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.xaviercochet.fr%2Fsam-1er-episode-carnet-bleu%2F	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-json/oembed/1.0/embed7b3d.json	(from http://www.xaviercochet.fr/sam-1er-episode-carnet-bleu/)
05:56:03	48707/48707	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:01%20GMT	http://www.xaviercochet.fr/sam-2eme-episode-ou-sam-retourne-a-lecole/?shared=email%26msg=fail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/sam-2eme-episode-ou-sam-retourne-a-lecole/index62e6.html	(from http://www.xaviercochet.fr/sam-2eme-episode-ou-sam-retourne-a-lecole/?share=email)
05:56:04	827/827	---M--	200	added ('OK')	application/rss+xml	etag:%22f73c473dd47b30e3d7a5a50f4e578c2a%22	http://www.xaviercochet.fr/sam-1er-episode-carnet-bleu/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/sam-1er-episode-carnet-bleu/feed/index.html	(from http://www.xaviercochet.fr/sam-1er-episode-carnet-bleu/)
05:56:05	2603/2603	---M--	200	added ('OK')	text/xml	date:Tue,%2007%20Jan%202020%2004:56:04%20GMT	http://www.xaviercochet.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.xaviercochet.fr%2Fsam-1er-episode-carnet-bleu%2F&format=xml	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-json/oembed/1.0/embed9bf7	(from http://www.xaviercochet.fr/sam-1er-episode-carnet-bleu/)
05:56:06	49447/49447	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:05%20GMT	http://www.xaviercochet.fr/sam-1er-episode-carnet-bleu/?shared=email%26msg=fail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/sam-1er-episode-carnet-bleu/index62e6.html	(from http://www.xaviercochet.fr/sam-1er-episode-carnet-bleu/?share=email)
05:56:06	2494/2494	---M--	200	added ('OK')	application/json	date:Tue,%2007%20Jan%202020%2004:56:05%20GMT	http://www.xaviercochet.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.xaviercochet.fr%2Frevue-de-sam-2002-2008%2F	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-json/oembed/1.0/embedb72e.json	(from http://www.xaviercochet.fr/revue-de-sam-2002-2008/)
